"","Estimate","Std. Error","t value"
"version:projectfoundation-sites",0.00789433104736463,0.00390258287874015,2.02284776330314
"version:projectgaia",0.00406633903836236,0.00460767749263724,0.882513814141744
"version:projectgenerator-jhipster",-0.00018085923341967,0.00384730110251831,-0.0470093784188832
"version:projectGhost",0.0344056141072298,0.00385854153653379,8.91674063411459
"version:projectgollum",-0.00061035840882795,0.00383488225647283,-0.159159621601872
"version:projectgrails-core",-0.00129263182366816,0.00386171510822815,-0.334729980705711
"version:projecthabitica",0.00407990109759277,0.00392790615035233,1.0386961758816
"version:projecthapi",0.0036103982780755,0.00383837545279831,0.940605816828938
"version:projectHaraka",0.00757856585035949,0.00383536509158617,1.97596986711512
"version:projecthumhub",-0.00048864109548493,0.00383721693369457,-0.127342577688057
"version:projectHystrix",-0.0068115734943761,0.00414059650874286,-1.64507057859743
"version:projectincubator-airflow",0.00353667035184228,0.00385193641296876,0.918153877082437
"version:projectinvoiceninja",-0.000969436040463998,0.00384287989393068,-0.252268108091302
"version:projectipython",0.0140285155589115,0.0038760775175205,3.61925567677641
"version:projectjsbin",-0.00410315946348992,0.00391240469590178,-1.04875639981415
"version:projectkeras",-0.005915912841285,0.00386151698739108,-1.53201782113146
"version:projectkibana",-0.0378107120869855,0.00387635167980415,-9.75420065315018
"version:projectkivy",0.00129684549379204,0.00383796997831471,0.337898811381921
"version:projectlaravel",-0.010438944700566,0.00388336502467192,-2.68811832888358
"version:projectLeaflet",0.0320335245456568,0.00385036916755199,8.31959823894582
"version:projectlogstash",0.0109487431118414,0.0038787260934512,2.82276779748052
"version:projectloomio",-0.00331890858761781,0.00384908212935247,-0.862259748189926
"version:projectmapbox-gl-js",-0.022428783944749,0.00383804677136582,-5.84380162120001
"version:projectmaterial-ui",-0.00431119086747936,0.00384628682954523,-1.12087087067011
"version:projectmatplotlib",0.00164732600172659,0.00383600831882331,0.429437546744399
"version:projectmetrics",0.000351378198809581,0.00383596599188082,0.0916009681924464
"version:projectmrjob",0.00121293196998311,0.00383551642196871,0.316236938274019
"version:projectng-cordova",0.00244466983761485,0.00384107018406172,0.636455394061491
"version:projectopenhab",0.000366991452084945,0.0038410819309224,0.0955437709179028
"version:projectp5.js",0.0265902549154475,0.00383480145885974,6.93393261703669
"version:projectpdf.js",-0.000982794963268402,0.00383536113731634,-0.256245742729739
"version:projectphaser",-0.000260093231815545,0.00384498979035972,-0.0676447132493456
"version:projectpicasso",0.00119130669546355,0.00383478568760148,0.310657959143648
"version:projectpuppet",0.0018920991895318,0.00387785773162491,0.487923828174833
"version:projectpyramid",0.00221720423365896,0.00383840176233753,0.577637352977016
"version:projectpyrocms",-0.000800889036520667,0.0038345538501941,-0.208861074275988
"version:projectrails",0.000321054253729962,0.00395672764546874,0.0811413578333184
"version:projectrefinerycms",0.00290803877987652,0.00383517842020398,0.758253844086308
"version:projectrequest",0.0038223991573112,0.00384154014602447,0.995017365955925
"version:projectrobolectric",0.00362426787785778,0.0038382347973169,0.94425382219746
"version:projectRxJava",0.000686392775716988,0.00383797041892953,0.178842643583593
"version:projectsalt",0.00725985261098846,0.00433743891249051,1.6737648085561
"version:projectscikit-image",0.00181151276726785,0.00383955856249502,0.471802353781704
"version:projectscikit-learn",0.000488247271431148,0.00383846098662192,0.127198706234823
"version:projectscipy",0.00343645300651296,0.00383671893228103,0.895674941836277
"version:projectsensu",0.0138333867274228,0.00383597278534946,3.60622650407114
"version:projectsentry",-0.00878848157372031,0.00383734947943881,-2.29024789657823
"version:projectserverless",0.010732512564456,0.00395898631636097,2.71092438993856
"version:projectserverspec",-0.0161477848448197,0.00385294219138032,-4.19102702369763
"version:projectspark-notebook",-0.00116133974400801,0.00384032942316519,-0.302406282388879
"version:projectspinnaker",0.0106661956793197,0.00387031089985237,2.75590151678165
"version:projectsympy",-0.0014450013273933,0.00392657165586521,-0.368005846839664
"version:projectTelescope",-0.000371572592604529,0.0038345538501941,-0.0969011277767609
"version:projectTheano",-0.00126151464134526,0.00387764342954276,-0.325330233237566
"version:projecttitanium_mobile",-0.00580418029502794,0.00388780130801468,-1.49292102018245
"version:projectunderscore",0.00215061886215958,0.00383658728475282,0.56055517639504
"version:projectvanilla",-0.00069655314565043,0.00384771006547885,-0.181030569818608
