"project","version","code_lines","test_lines","test_ratio" 
ansible,9,24672,3424,0.13878080415045396
ansible,10,25144,3415,0.13581769010499523
ansible,11,34588,3475,0.10046837053313287
ansible,12,36768,3551,0.09657854656222803
ansible,13,38552,3627,0.09408072214152313
ansible,14,39346,3952,0.10044223046815433
ansible,15,42565,4836,0.11361447198402444
ansible,16,44323,5201,0.11734314013040634
ansible,17,46451,5312,0.11435706443348906
ansible,18,48726,5389,0.11059803800845544
ansible,19,32159,3683,0.11452470537019185
ansible,20,34069,4147,0.1217235610085415
ansible,21,35492,4292,0.12092865997971373
ansible,22,36340,4360,0.11997798569069895
ansible,23,37244,4426,0.11883793362689292
ansible,24,38148,4439,0.11636258781587501
ipython,1,54358,5278,0.09709702343721255
ipython,2,65180,5602,0.08594660938938324
ipython,3,63721,5693,0.08934260290955885
ipython,4,65045,6092,0.093658236605427
ipython,5,67689,6659,0.0983763979376265
ipython,6,68862,6964,0.10112979582353113
ipython,7,68271,6998,0.10250325907046916
ipython,8,70773,7292,0.10303364277337403
ipython,9,70924,7326,0.10329366645987254
ipython,10,71811,7467,0.1039812842043698
ipython,11,73569,8512,0.1157009066318694
ipython,12,73453,9441,0.12853116959143943
ipython,13,94614,9949,0.10515357135307671
ipython,14,105151,10665,0.10142556894370952
ipython,15,105728,10783,0.10198812046004843
ipython,16,106247,10920,0.10277937259404972
ipython,17,106751,11026,0.10328708864553962
ipython,18,106916,11119,0.10399753077182086
ipython,19,1549,326,0.210458360232408
ipython,20,109516,11777,0.10753679827605099
ipython,21,1729,326,0.18854829381145172
ipython,22,2840,778,0.273943661971831
ipython,23,96968,11786,0.12154525204191073
ipython,24,3095,762,0.24620355411954767
gollum,1,9705,1164,0.11993817619783617
gollum,2,9979,1334,0.13368072953201723
gollum,3,15558,1410,0.09062861550327805
gollum,4,105407,7308,0.06933125883480225
gollum,5,99232,7441,0.07498589164785553
gollum,6,99074,7482,0.07551930879948321
gollum,7,99105,7494,0.07561677009232633
gollum,8,99363,7636,0.07684953151575537
gollum,9,99664,7744,0.07770107561406325
gollum,10,75203,8492,0.11292102708668537
gollum,11,75203,8499,0.11301410847971491
gollum,12,75463,8661,0.11477147741277183
gollum,13,72159,7033,0.09746531964134758
gollum,14,72160,7033,0.09746396895787139
gollum,15,72191,7058,0.0977684198861354
gollum,16,72200,7063,0.09782548476454293
gollum,17,72278,7063,0.09771991477351338
gollum,18,72291,7077,0.09789600365190687
gollum,19,72291,7077,0.09789600365190687
gollum,20,72295,7077,0.09789058717753649
gollum,21,72290,7069,0.09778669248858764
gollum,22,72287,7069,0.0977907507573976
gollum,23,72310,7077,0.0978702807357212
gollum,24,72320,7077,0.09785674778761062
jsbin,1,51636,0,0
jsbin,2,79177,53,0.0006693863116814226
jsbin,3,77599,5292,0.06819675511282362
jsbin,4,77718,5292,0.06809233382228055
jsbin,5,77942,5292,0.06789664109209412
jsbin,6,78165,5343,0.0683554020341585
jsbin,7,76597,5496,0.07175215739519825
jsbin,8,76809,5451,0.07096824590868257
jsbin,9,76904,5451,0.0708805783834391
jsbin,10,77048,5451,0.07074810507735438
jsbin,11,77049,5451,0.07074718685511817
jsbin,12,77066,5451,0.07073158072301663
jsbin,13,77439,5476,0.07071372305944033
jsbin,14,104534,6359,0.06083188244972927
jsbin,15,204061,59105,0.28964378298645993
jsbin,16,198016,59141,0.2986677844214609
jsbin,17,198178,59141,0.29842363935451965
jsbin,18,257226,59141,0.22991843748299162
jsbin,19,295921,59214,0.2001007025523704
jsbin,20,300092,60381,0.20120829612252242
jsbin,21,301362,60476,0.20067559944518554
jsbin,22,295181,60527,0.20505046056487375
jsbin,23,295864,60527,0.20457710299326717
jsbin,24,298515,60527,0.20276033030165988
humhub,1,802988,3208,0.003995078382242325
humhub,2,804757,3208,0.0039862964845288704
humhub,3,804949,3208,0.00398534565543904
humhub,4,808903,3222,0.0039831722715826245
humhub,5,807810,3469,0.004294326636213961
humhub,6,809587,4085,0.005045782602734481
humhub,7,828548,5328,0.0064305266562709705
humhub,8,837862,5328,0.0063590424198734395
humhub,9,846112,5328,0.0062970386899133925
humhub,10,847725,5328,0.006285057064496152
humhub,11,849095,5328,0.0062749162343436245
humhub,12,849253,5330,0.0062761038230068076
humhub,13,872940,5885,0.006741585905102298
humhub,14,1032491,6928,0.006709985849755591
humhub,15,877190,5885,0.006708922810337555
humhub,16,92636,1345,0.01451919340213308
humhub,17,93738,1312,0.01399645821331797
humhub,18,96298,1312,0.013624374337992481
humhub,19,98218,1319,0.013429310309719196
humhub,20,99891,1319,0.013204392788139072
humhub,21,101848,1318,0.01294085303589663
humhub,22,95431,1334,0.013978686171160314
humhub,23,95770,1334,0.01392920538790853
humhub,24,97548,1364,0.013982859720342805
kibana,1,719,0,0
