transitionVersion,project,medianInsertions,medianDeletions,medianFiles,medianChanges,medianNumberOfCodeFiles,medianNumberOfCodeFilesChanges,medianMedianDepthCodeFiles,totalCommits,totalChanges,totalNumberOfCodeFilesChanges,totalNumberOfTestFilesChanges,changesPerCommit,codeChangesPerCommit,testChangesPerCommit,countCommitsWithTests,testCommitRatio,totalCommitters,countLowContributors
20,hapi,16.5,3.5,2,24,1,4,2,50,2783,1462,1058,55.66,29.24,21.16,24,0.48,5,2
21,hapi,23,4,2,29,1,2,2,43,2308,1191,904,53.674418604651166,27.697674418604652,21.023255813953487,28,0.6511627906976745,4,3
22,hapi,16,10,3,40,2,15,2,73,6896,3613,2392,94.46575342465754,49.49315068493151,32.76712328767123,38,0.5205479452054794,4,1
23,hapi,24,18,4,45,2,22,2,105,19022,8509,7543,181.16190476190476,81.03809523809524,71.83809523809524,69,0.6571428571428571,8,5
24,hapi,19,5,2,22,1,2,2,59,5448,1202,3982,92.33898305084746,20.372881355932204,67.49152542372882,35,0.5932203389830508,12,8
2,mrjob,2,2,1,5,1,2,3,45,1811,575,1021,40.24444444444445,12.777777777777779,22.68888888888889,16,0.35555555555555557,3,
3,mrjob,6.5,3,1,11,1,2,2,136,5323,3075,1269,39.13970588235294,22.610294117647058,9.330882352941176,44,0.3235294117647059,5,2
4,mrjob,9,3,1,18,1,2,3,71,4470,2558,1896,62.95774647887324,36.028169014084504,26.704225352112676,46,0.647887323943662,4,1
5,mrjob,9,5,2,16,1,2,2,93,6426,2263,445,69.09677419354838,24.333333333333332,4.78494623655914,25,0.26881720430107525,5,3
6,mrjob,7,4,1,13,0,0,2,99,5317,2306,2898,53.707070707070706,23.292929292929294,29.272727272727273,62,0.6262626262626263,2,
7,mrjob,12.5,4,1,19,1,4.5,2,182,8966,5193,3069,49.26373626373626,28.532967032967033,16.86263736263736,74,0.4065934065934066,8,5
8,mrjob,6,5,1,12,1,5,2,81,3534,2070,856,43.629629629629626,25.555555555555557,10.567901234567902,33,0.4074074074074074,3,1
9,mrjob,15,2,1,22,0,0,2,11,338,53,90,30.727272727272727,4.818181818181818,8.181818181818182,3,0.2727272727272727,3,1
10,mrjob,6,5,1,12,1,3,2,11,331,76,255,30.09090909090909,6.909090909090909,23.181818181818183,5,0.45454545454545453,3,1
11,mrjob,5,2,1,7,1,1,2,15,224,63,161,14.933333333333334,4.2,10.733333333333333,6,0.4,4,3
12,mrjob,6,2,1,9,1,3,2,5,47,25,3,9.4,5,0.6,1,0.2,2,
13,mrjob,25.5,3,2,30.5,0,0,2,4,118,46,60,29.5,11.5,15,2,0.5,2,1
14,mrjob,10,5,2,17.5,1,7.5,2,38,2586,2006,559,68.05263157894737,52.78947368421053,14.710526315789474,22,0.5789473684210527,2,
15,mrjob,8,2.5,1,9.5,1,7.5,2,20,531,413,45,26.55,20.65,2.25,5,0.25,4,1
16,mrjob,2,1.5,1,4,1,1.5,2,10,113,33,35,11.3,3.3,3.5,3,0.3,3,1
17,mrjob,22,0,1,22,1,7,2,5,163,67,26,32.6,13.4,5.2,2,0.4,2,2
18,mrjob,23.5,2,1,25,0,0,2,14,1113,52,42,79.5,3.7142857142857144,3,2,0.14285714285714285,5,2
19,mrjob,6,2,1,9,1,2,2,31,990,606,300,31.93548387096774,19.548387096774192,9.67741935483871,9,0.2903225806451613,7,1
20,mrjob,8,4,1,15,1,8,2,65,3251,1573,321,50.01538461538462,24.2,4.938461538461539,11,0.16923076923076924,6,1
21,mrjob,6,3,1,14,0,0,2,159,5478,1616,1438,34.45283018867924,10.163522012578616,9.044025157232705,53,0.3333333333333333,5,1
22,mrjob,4.5,1.5,1,7,1,2,2,36,800,249,117,22.22222222222222,6.916666666666667,3.25,7,0.19444444444444445,8,5
23,mrjob,11,3,1,18,0,0,2,55,2065,479,850,37.54545454545455,8.709090909090909,15.454545454545455,24,0.43636363636363634,5,3
24,mrjob,7,5,2,11,1,2,2,11,480,161,218,43.63636363636363,14.636363636363637,19.818181818181817,4,0.36363636363636365,3,2
2,underscore,3,2,1,6,0,0,1,19,2649,92,2316,139.42105263157896,4.842105263157895,121.89473684210526,5,0.2631578947368421,7,4
3,underscore,10,3,2,11,1,6,1,11,388,125,60,35.27272727272727,11.363636363636363,5.454545454545454,6,0.5454545454545454,5,4
4,underscore,5,2.5,1,7,1,3,1,42,965,307,130,22.976190476190474,7.309523809523809,3.0952380952380953,20,0.47619047619047616,9,7
5,underscore,6,2,1,12,1,3,1,23,888,117,645,38.608695652173914,5.086956521739131,28.043478260869566,10,0.43478260869565216,12,9
6,underscore,3,2,1,6,1,2,1,27,11338,122,11150,419.9259259259259,4.518518518518518,412.962962962963,10,0.37037037037037035,6,3
7,underscore,7,6.5,1,14,0,0,1,6,109,37,0,18.166666666666668,6.166666666666667,0,0,0,5,4
8,underscore,9,6.5,1,16,0.5,2,1,4,88,44,12,22,11,3,1,0.25,3,2
9,underscore,3,3,1,9,1,3,1,49,1101,319,656,22.46938775510204,6.510204081632653,13.387755102040817,26,0.5306122448979592,6,4
10,underscore,10,4,2,13,1,9,1,46,1682,537,190,36.56521739130435,11.673913043478262,4.130434782608695,17,0.3695652173913043,4,2
11,underscore,4,2,1,6,1,2,1,10,108,23,8,10.8,2.3,0.8,3,0.3,6,4
12,underscore,4,2,1,8,1,2,1,33,2077,196,1695,62.93939393939394,5.9393939393939394,51.36363636363637,16,0.48484848484848486,7,5
13,underscore,2,1,1,3.5,0.5,1,1,10,282,13,244,28.2,1.3,24.4,3,0.3,6,4
14,underscore,3,3,2,9,1,2,1,13,485,81,55,37.30769230769231,6.230769230769231,4.230769230769231,7,0.5384615384615384,5,3
15,underscore,3,2,1,4,0,0,1,17,776,31,702,45.64705882352941,1.8235294117647058,41.294117647058826,9,0.5294117647058824,11,8
16,underscore,2,1,1,3,1,2,1,19,127,70,41,6.684210526315789,3.6842105263157894,2.1578947368421053,5,0.2631578947368421,12,10
17,underscore,3,4,1,10,1,8.5,1,10,141,110,24,14.1,11,2.4,2,0.2,5,3
18,underscore,2,1,1,4,0,0,1,11,45,13,18,4.090909090909091,1.1818181818181819,1.6363636363636365,4,0.36363636363636365,9,5
19,underscore,5.5,4.5,1.5,10,1,2,1,24,6123,108,395,255.125,4.5,16.458333333333332,13,0.5416666666666666,3,
20,underscore,3,2,1,6.5,1,2,1,28,245,154,52,8.75,5.5,1.8571428571428572,6,0.21428571428571427,12,8
21,underscore,2,2,1,6,1,2.5,1,16,1488,103,11,93,6.4375,0.6875,6,0.375,7,5
22,underscore,5,3,1,6,1,2,1,3,24,15,9,8,5,3,2,0.6666666666666666,3,2
