transitionVersion,project,medianInsertions,medianDeletions,medianFiles,medianChanges,medianNumberOfCodeFiles,medianNumberOfCodeFilesChanges,medianMedianDepthCodeFiles,totalCommits,totalChanges,totalNumberOfCodeFilesChanges,totalNumberOfTestFilesChanges,changesPerCommit,codeChangesPerCommit,testChangesPerCommit,countCommitsWithTests,testCommitRatio,totalCommitters,countLowContributors
15,metrics,8,2,1,13,0,0,8,67,3117,1569,1008,46.52238805970149,23.417910447761194,15.044776119402986,19,0.2835820895522388,13,10
16,metrics,5,2,1,5,1,2,8,13,470,176,291,36.15384615384615,13.538461538461538,22.384615384615383,4,0.3076923076923077,9,6
17,metrics,2,2,1,4,0,0,9,13,450,189,173,34.61538461538461,14.538461538461538,13.307692307692308,5,0.38461538461538464,5,4
18,metrics,6.5,2.5,1,11.5,1,11.5,9,4,42,40,0,10.5,10,0,0,0,4,3
19,metrics,2.5,0.5,1,3,0.5,2,8.5,4,57,48,6,14.25,12,1.5,1,0.25,4,3
20,metrics,3.5,2.5,1,11,1,10.5,8,6,74,51,22,12.333333333333334,8.5,3.6666666666666665,1,0.16666666666666666,4,4
21,metrics,5,2,1,9,0,0,9,15,460,123,227,30.666666666666668,8.2,15.133333333333333,5,0.3333333333333333,10,7
22,metrics,10,3,1,34,1,16,9,9,307,192,115,34.111111111111114,21.333333333333332,12.777777777777779,4,0.4444444444444444,4,3
23,metrics,11,2,1,11,0,0,9,11,157,71,66,14.272727272727273,6.454545454545454,6,2,0.18181818181818182,6,4
24,metrics,8,4,1.5,18,1,2,9,16,2258,963,1169,141.125,60.1875,73.0625,8,0.5,9,6
2,Hystrix,3,1.5,1,5.5,0,0,8,16,398,353,0,24.875,22.0625,0,0,0,6,1
3,Hystrix,2.5,1,1,3,0,0,8,4,27,19,0,6.75,4.75,0,0,0,3,1
4,Hystrix,2,2,2,4,0,0,NaN,1,4,0,0,4,0,0,0,0,1,1
5,Hystrix,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
6,Hystrix,27,3,1,45,1,45,8,21,44382,28824,15496,2113.4285714285716,1372.5714285714287,737.9047619047619,2,0.09523809523809523,7,3
7,Hystrix,4,1,1,7,0,0,8,61,12601,6889,5248,206.5737704918033,112.93442622950819,86.0327868852459,19,0.3114754098360656,4,
8,Hystrix,15,1,1,15.5,0,0,9.5,12,3791,1039,2468,315.9166666666667,86.58333333333333,205.66666666666666,5,0.4166666666666667,6,1
9,Hystrix,12,1,1,12,0,0,8.5,23,1826,1310,452,79.3913043478261,56.95652173913044,19.652173913043477,5,0.21739130434782608,7,4
10,Hystrix,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
11,Hystrix,91.5,0.5,2.5,92,1,43,11,4,666,370,264,166.5,92.5,66,4,1,2,2
12,Hystrix,21.5,12.5,1,33.5,0.5,2,7,4,131,50,34,32.75,12.5,8.5,1,0.25,2,2
13,Hystrix,4,0,1,4,0,0,9,7,43,3,0,6.142857142857143,0.42857142857142855,0,0,0,4,2
14,Hystrix,7,1,1,7,0,0,8,5,11060,2011,8113,2212,402.2,1622.6,1,0.2,4,1
15,Hystrix,35.5,19.5,2.5,51.5,1,13,8,12,1285,607,565,107.08333333333333,50.583333333333336,47.083333333333336,9,0.75,6,2
16,Hystrix,2,2,1,4.5,0,0,8,16,8028,597,7404,501.75,37.3125,462.75,6,0.375,7,3
17,Hystrix,14,2.5,1.5,23,1,2,9,54,7773,3150,3607,143.94444444444446,58.333333333333336,66.79629629629629,27,0.5,7,5
18,Hystrix,18,4,1,26,1,4,9,88,13935,3676,10113,158.35227272727272,41.77272727272727,114.92045454545455,47,0.5340909090909091,10,6
19,Hystrix,31,2,1,39,1,3,9,27,10440,1425,8911,386.6666666666667,52.77777777777778,330.037037037037,10,0.37037037037037035,6,4
20,Hystrix,7,3,1,9,1,2,8,35,2962,803,1864,84.62857142857143,22.942857142857143,53.25714285714286,14,0.4,5,2
21,Hystrix,8,1,1,9,1,2,8,35,1466,822,558,41.885714285714286,23.485714285714284,15.942857142857143,12,0.34285714285714286,7,5
22,Hystrix,14,2.5,1,28.5,0,0,9,20,2301,550,1678,115.05,27.5,83.9,11,0.55,4,2
23,Hystrix,9,3,2.5,9.5,1,6,8,6,218,131,70,36.333333333333336,21.833333333333332,11.666666666666666,2,0.3333333333333333,4,2
24,Hystrix,12.5,2,1,19.5,1,2,8,22,2251,1636,590,102.31818181818181,74.36363636363636,26.818181818181817,8,0.36363636363636365,3,1
2,mapbox-gl-js,15,11,2,32,2,25,2,184,55890,15847,116,303.75,86.125,0.6304347826086957,4,0.021739130434782608,5,2
3,mapbox-gl-js,14,5.5,2,25,2,18,2,86,47661,7985,126,554.1976744186046,92.84883720930233,1.4651162790697674,1,0.011627906976744186,5,
4,mapbox-gl-js,12,5,2,23.5,1,15,2,202,81903,75635,352,405.46039603960395,374.4306930693069,1.7425742574257426,5,0.024752475247524754,3,
5,mapbox-gl-js,17,7,2,32,2,28,3,85,15258,12618,0,179.50588235294117,148.4470588235294,0,0,0,4,
6,mapbox-gl-js,26,6,1,45,1,38,2.5,35,5878,5684,50,167.94285714285715,162.4,1.4285714285714286,2,0.05714285714285714,5,
7,mapbox-gl-js,10,6,1,18,1,11,3,204,52439,46716,171,257.05392156862746,229,0.8382352941176471,5,0.024509803921568627,7,1
8,mapbox-gl-js,10,5.5,1.5,19.5,1,11.5,3,146,5498,4639,204,37.657534246575345,31.773972602739725,1.3972602739726028,10,0.0684931506849315,5,
9,mapbox-gl-js,14,6,1,25,1,13,2,99,13359,4767,8404,134.93939393939394,48.15151515151515,84.88888888888889,28,0.2828282828282828,5,
10,mapbox-gl-js,11,6,2,20,1,15,3,113,15623,10675,4444,138.2566371681416,94.46902654867256,39.32743362831859,3,0.02654867256637168,4,
11,mapbox-gl-js,8,3,1,14,1,2,3,451,82756,13949,63674,183.49445676274945,30.929046563192905,141.1840354767184,136,0.30155210643015523,10,1
12,mapbox-gl-js,5,3,1,9,1,3,3,443,20403,6954,2200,46.05643340857788,15.697516930022573,4.966139954853273,73,0.16478555304740405,10,1
13,mapbox-gl-js,6,3,1,11.5,0,0,3,258,16918,3341,1143,65.57364341085271,12.949612403100776,4.430232558139535,37,0.1434108527131783,14,3
14,mapbox-gl-js,5,3,1,11,1,2,3,95,3396,1935,713,35.747368421052634,20.36842105263158,7.505263157894737,17,0.17894736842105263,9,2
15,mapbox-gl-js,4,2,1,8,0,0,2,51,1822,267,160,35.72549019607843,5.235294117647059,3.1372549019607843,1,0.0196078431372549,13,6
16,mapbox-gl-js,4,2,1,7,0,0,2,211,36169,3586,25503,171.4170616113744,16.99526066350711,120.86729857819905,40,0.1895734597156398,13,4
17,mapbox-gl-js,9,3,2,11,1,2,3,89,6808,2962,856,76.49438202247191,33.28089887640449,9.617977528089888,23,0.25842696629213485,7,1
18,mapbox-gl-js,8.5,4,2,15,1,4.5,3,92,4822,2898,1043,52.41304347826087,31.5,11.33695652173913,18,0.1956521739130435,8,1
19,mapbox-gl-js,10,4,1,18,1,2,3,167,8793,4169,1408,52.65269461077844,24.964071856287426,8.431137724550899,36,0.2155688622754491,11,3
20,mapbox-gl-js,7,5,2,17,1,5,3,191,22368,5665,2206,117.10994764397905,29.659685863874344,11.549738219895287,38,0.19895287958115182,11,3
21,mapbox-gl-js,12,4,1,18,1,8,3,55,2379,1379,305,43.25454545454546,25.072727272727274,5.545454545454546,5,0.09090909090909091,9,2
22,mapbox-gl-js,3,1,1,5,1,2,3,33,675,426,53,20.454545454545453,12.909090909090908,1.606060606060606,1,0.030303030303030304,5,1
23,mapbox-gl-js,11,4,2,18,1,4,3,226,17627,4791,5871,77.99557522123894,21.199115044247787,25.97787610619469,70,0.30973451327433627,19,9
24,mapbox-gl-js,10,2,1,17.5,1,3.5,3,30,1491,832,575,49.7,27.733333333333334,19.166666666666668,9,0.3,13,9
2,Crafty,16.5,4,1,29.5,1,9.5,2,36,1386,1021,291,38.5,28.36111111111111,8.083333333333334,12,0.3333333333333333,3,
3,Crafty,6,1.5,1,16.5,1,16.5,2,10,178,178,0,17.8,17.8,0,0,0,2,
4,Crafty,5,3,1,8,1,6,2,27,541,248,0,20.037037037037038,9.185185185185185,0,0,0,9,4
5,Crafty,7.5,5.5,1,13,1,13,2,20,1547,1296,76,77.35,64.8,3.8,1,0.05,4,1
6,Crafty,9,3,1,12,1,12,2,21,2721,2334,197,129.57142857142858,111.14285714285714,9.380952380952381,2,0.09523809523809523,5,4
7,Crafty,5,3,2,12.5,1,5,2,18,4905,2337,2244,272.5,129.83333333333334,124.66666666666667,1,0.05555555555555555,5,3
8,Crafty,5,4,1,12,1,5,2,18,27779,26338,44,1543.2777777777778,1463.2222222222222,2.4444444444444446,1,0.05555555555555555,7,5
9,Crafty,17,10,1,35,0.5,2,2,6,229,74,0,38.166666666666664,12.333333333333334,0,0,0,5,2
10,Crafty,6,3.5,1,10.5,1,8,2,38,9492,8406,521,249.78947368421052,221.21052631578948,13.710526315789474,4,0.10526315789473684,10,5
11,Crafty,8,4,2,13,1,11,2,35,14819,13681,74,423.4,390.8857142857143,2.1142857142857143,2,0.05714285714285714,9,5
12,Crafty,9,6.5,2,21,1,4.5,2,38,8155,2262,3980,214.60526315789474,59.526315789473685,104.73684210526316,14,0.3684210526315789,6,2
13,Crafty,9.5,2,1,12.5,1,5.5,2,30,10888,10053,655,362.93333333333334,335.1,21.833333333333332,8,0.26666666666666666,8,3
14,Crafty,16,8,1,30,1,29,2,9,213,190,23,23.666666666666668,21.11111111111111,2.5555555555555554,2,0.2222222222222222,3,1
15,Crafty,42,7,2,63,1,31,2,13,7260,864,6338,558.4615384615385,66.46153846153847,487.53846153846155,5,0.38461538461538464,5,2
16,Crafty,1,1,1,2,1,2,2,3,390,347,0,130,115.66666666666667,0,1,0.3333333333333333,3,2
17,Crafty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
18,Crafty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
19,Crafty,3,9,1,32,1,9,2,11,467,398,10,42.45454545454545,36.18181818181818,0.9090909090909091,1,0.09090909090909091,1,
20,Crafty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
21,Crafty,1.5,1.5,1,3,1,3,2,2,6,6,0,3,3,0,0,0,2,2
22,Crafty,3,3,1,6,1,3,2,9,7493,7456,23,832.5555555555555,828.4444444444445,2.5555555555555554,2,0.2222222222222222,3,1
23,Crafty,7,7,1,12,1,12,2,11,837,488,342,76.0909090909091,44.36363636363637,31.09090909090909,5,0.45454545454545453,5,3
24,Crafty,63.5,3,2.5,83.5,1,52,2,8,1229,1111,57,153.625,138.875,7.125,2,0.25,3,1
2,bootstrap,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
3,bootstrap,22,13,4,38.5,0,0,4,58,9040,2227,0,155.86206896551724,38.39655172413793,0,0,0,2,
4,bootstrap,9,5,1,15,0,0,NaN,5,363,0,0,72.6,0,0,0,0,2,
5,bootstrap,8,6,3,15,0,0,4,241,18476,1125,0,76.66390041493776,4.668049792531121,0,0,0,16,12
6,bootstrap,8,6,3,16,0,0,2,168,12313,1330,2517,73.29166666666667,7.916666666666667,14.982142857142858,11,0.06547619047619048,19,14
7,bootstrap,18,9,3,33.5,0,0,2,108,14228,647,109,131.74074074074073,5.9907407407407405,1.0092592592592593,3,0.027777777777777776,14,10
8,bootstrap,15.5,6.5,3,33,0,0,2,60,7800,1962,23,130,32.7,0.38333333333333336,1,0.016666666666666666,12,6
9,bootstrap,10.5,5,3,20.5,0,0,2,84,20208,897,9567,240.57142857142858,10.678571428571429,113.89285714285714,3,0.03571428571428571,11,8
10,bootstrap,8,5,3,14,0,0,2,561,98540,21007,1265,175.650623885918,37.445632798573975,2.2549019607843137,14,0.024955436720142603,50,45
11,bootstrap,5.5,2,3,8,0,0,3,212,10885,174,31,51.344339622641506,0.8207547169811321,0.14622641509433962,2,0.009433962264150943,30,25
12,bootstrap,8,4,3,13,0,0,3,212,9010,691,491,42.5,3.259433962264151,2.3160377358490565,13,0.06132075471698113,22,17
13,bootstrap,6,2,3,10,0,0,3.5,104,9328,4408,831,89.6923076923077,42.38461538461539,7.990384615384615,17,0.16346153846153846,15,10
14,bootstrap,7,4,2,14,0,0,4,81,24418,10572,9450,301.4567901234568,130.5185185185185,116.66666666666667,8,0.09876543209876543,8,6
15,bootstrap,28,13,3,59,0,0,4,97,27531,68,135,283.82474226804123,0.7010309278350515,1.3917525773195876,4,0.041237113402061855,19,14
16,bootstrap,12,8,2,23,0,0,4,163,71910,571,325,441.16564417177915,3.503067484662577,1.9938650306748467,19,0.1165644171779141,13,8
17,bootstrap,4,2,2,7.5,0,0,4,212,6407,461,195,30.221698113207548,2.1745283018867925,0.9198113207547169,8,0.03773584905660377,25,22
18,bootstrap,8,7,2,26,0,0,4,155,38405,4433,667,247.7741935483871,28.6,4.303225806451613,8,0.05161290322580645,18,13
19,bootstrap,9,2,2,13,0,0,4,59,9151,413,56,155.10169491525423,7,0.9491525423728814,5,0.0847457627118644,12,7
20,bootstrap,10,8,2,19.5,0,0,4,110,26005,676,57,236.4090909090909,6.1454545454545455,0.5181818181818182,2,0.01818181818181818,14,11
21,bootstrap,8,6,2,18,0,0,4,160,13871,1253,273,86.69375,7.83125,1.70625,8,0.05,16,10
22,bootstrap,12,5,2,22.5,0,0,2,202,28436,342,261,140.77227722772278,1.693069306930693,1.2920792079207921,7,0.034653465346534656,22,19
23,bootstrap,6,4,2,18,0,0,4,203,152296,30698,8486,750.2266009852217,151.2216748768473,41.80295566502463,10,0.04926108374384237,14,11
24,bootstrap,7,3,1,11,0,0,4,105,25267,47,35,240.63809523809525,0.44761904761904764,0.3333333333333333,1,0.009523809523809525,17,15
2,androidannotations,23,5,3,41,1,10,9,27,1703,1171,190,63.074074074074076,43.370370370370374,7.037037037037037,6,0.2222222222222222,4,1
3,androidannotations,1,1,1,17,1,5,9,3,59,22,35,19.666666666666668,7.333333333333333,11.666666666666666,1,0.3333333333333333,2,1
4,androidannotations,16,6,2,22,1,11,9,17,545,316,162,32.05882352941177,18.58823529411765,9.529411764705882,6,0.35294117647058826,5,2
5,androidannotations,26,11.5,3,44.5,1.5,3,10,14,956,244,648,68.28571428571429,17.428571428571427,46.285714285714285,9,0.6428571428571429,4,3
6,androidannotations,28,5,3,46,1,13,9,9,1053,685,163,117,76.11111111111111,18.11111111111111,3,0.3333333333333333,2,1
7,androidannotations,49.5,8,5,80,2,32.5,9,30,5249,4842,196,174.96666666666667,161.4,6.533333333333333,5,0.16666666666666666,4,
8,androidannotations,30,7,3,47,1,17,9,45,3901,2571,1020,86.68888888888888,57.13333333333333,22.666666666666668,25,0.5555555555555556,7,2
9,androidannotations,48,108,3,156,2,132,9.5,1,156,132,24,156,132,24,1,1,1,
10,androidannotations,47,25,3,55,2,50,9,13,2423,1587,755,186.3846153846154,122.07692307692308,58.07692307692308,6,0.46153846153846156,3,1
11,androidannotations,23,8,2,31,1,6,9,17,1182,950,218,69.52941176470588,55.88235294117647,12.823529411764707,6,0.35294117647058826,5,2
12,androidannotations,33.5,10,4,79.5,2.5,26.5,9,30,5226,2699,2470,174.2,89.96666666666667,82.33333333333333,15,0.5,6,2
13,androidannotations,7,3,2,11,1,4,9,25,2421,1765,591,96.84,70.6,23.64,6,0.24,5,1
14,androidannotations,19,49.5,2,68.5,1.5,67,9,2,137,134,0,68.5,67,0,0,0,2,
15,androidannotations,3,1,1,15,1,4.5,9,8,256,150,103,32,18.75,12.875,1,0.125,3,1
16,androidannotations,10,6.5,2,19,1,8.5,9,44,3286,2144,921,74.68181818181819,48.72727272727273,20.931818181818183,11,0.25,8,3
17,androidannotations,30,22,3,46,2,33,9,29,3468,2197,776,119.58620689655173,75.75862068965517,26.75862068965517,10,0.3448275862068966,5,1
18,androidannotations,50.5,4.5,2.5,56.5,0,0,9,24,1792,296,1431,74.66666666666667,12.333333333333334,59.625,15,0.625,6,2
19,androidannotations,10,2,1,11,0,0,9,17,793,505,114,46.64705882352941,29.705882352941178,6.705882352941177,5,0.29411764705882354,3,
20,androidannotations,20,9,2,30.5,1,9,9,20,7030,4401,2147,351.5,220.05,107.35,7,0.35,3,1
21,androidannotations,35,6,3,49,0,0,9,4,202,92,102,50.5,23,25.5,1,0.25,2,
22,androidannotations,1,1,1,2,1,2,9,3,5,4,0,1.6666666666666667,1.3333333333333333,0,0,0,2,1
23,androidannotations,30,1,3,35.5,1,28,9,40,3265,2267,898,81.625,56.675,22.45,10,0.25,4,2
24,androidannotations,8,4,2,18,1,4,9,57,4913,2772,1466,86.19298245614036,48.63157894736842,25.719298245614034,21,0.3684210526315789,4,
2,aframe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
3,aframe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
4,aframe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
5,aframe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
6,aframe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
7,aframe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
8,aframe,83,12.5,5,94,3,63.5,2,42,117356,112187,0,2794.190476190476,2671.1190476190477,0,0,0,4,1
9,aframe,4,4,1,11,1,2,2,167,254722,111675,857,1525.2814371257484,668.7125748502993,5.131736526946108,6,0.03592814371257485,8,2
10,aframe,7,4,1,16,1,6,3,172,19604,8299,0,113.97674418604652,48.25,0,0,0,6,
11,aframe,9,4,2,16,1,2,3,233,225342,13680,3315,967.1330472103004,58.712446351931334,14.227467811158798,36,0.15450643776824036,7,
12,aframe,4.5,2,1,8,0,0,3,264,220982,15504,900,837.0530303030303,58.72727272727273,3.409090909090909,33,0.125,10,3
13,aframe,12,3,2,14.5,1,2,3,64,137098,3575,1520,2142.15625,55.859375,23.75,22,0.34375,8,3
14,aframe,5,3,1,10,1,5,3,67,247604,10788,274,3695.582089552239,161.01492537313433,4.08955223880597,11,0.16417910447761194,10,4
15,aframe,6,3,1,11.5,1,2,3,178,197623,5499,1285,1110.241573033708,30.89325842696629,7.219101123595506,41,0.2303370786516854,21,15
16,aframe,4,3,1,9,1,4,3,59,17632,3102,2242,298.8474576271187,52.57627118644068,38,15,0.2542372881355932,17,10
17,aframe,5,1,1,10,1,3,3,35,16817,1323,102,480.48571428571427,37.8,2.914285714285714,8,0.22857142857142856,12,7
18,aframe,2,1,1,4,0,0,3.5,27,561,273,76,20.77777777777778,10.11111111111111,2.814814814814815,4,0.14814814814814814,13,9
19,aframe,9.5,7,2,31.5,1,4,3,56,70346,2631,867,1256.1785714285713,46.982142857142854,15.482142857142858,19,0.3392857142857143,11,5
20,aframe,8.5,4,1,17.5,1,0,3,134,169356,5459,3653,1263.8507462686566,40.73880597014925,27.261194029850746,31,0.23134328358208955,21,14
21,aframe,5,3,1,13,0,0,3,49,2247,856,771,45.857142857142854,17.46938775510204,15.73469387755102,18,0.3673469387755102,18,12
22,aframe,8,4,1,14,0,0,3,49,4970,434,553,101.42857142857143,8.857142857142858,11.285714285714286,12,0.24489795918367346,13,9
23,aframe,10,3,2,14.5,1,1,3,88,77078,1727,1055,875.8863636363636,19.625,11.988636363636363,28,0.3181818181818182,14,11
24,aframe,4,2,2,8,1,2,3,37,142857,904,866,3861,24.43243243243243,23.405405405405407,10,0.2702702702702703,16,13
2,serverless,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
3,serverless,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
4,serverless,4,4,1,12,0,0,3,63,1202567,539027,145435,19088.365079365078,8555.984126984127,2308.4920634920636,11,0.1746031746031746,7,5
5,serverless,19.5,7.5,2,38.5,1,10,3,248,28776,17348,7252,116.03225806451613,69.95161290322581,29.241935483870968,88,0.3548387096774194,3,1
6,serverless,5,3,1,9,0,0,3,436,22782,15138,3200,52.25229357798165,34.72018348623853,7.339449541284404,81,0.18577981651376146,13,7
7,serverless,17,16,2,36,1,24,3,187,40392,33272,2710,216,177.92513368983958,14.491978609625669,58,0.31016042780748665,8,4
8,serverless,78,22,3,118.5,2,71,4,146,122267,113848,6146,837.445205479452,779.7808219178082,42.0958904109589,59,0.4041095890410959,2,
9,serverless,12,6,2,23,1,11,3,275,36688,32421,3272,133.4109090909091,117.89454545454545,11.898181818181818,56,0.20363636363636364,19,10
10,serverless,8,4,1,16,1,6,3,278,28481,21856,5770,102.44964028776978,78.61870503597122,20.755395683453237,88,0.31654676258992803,17,6
11,serverless,24.5,17,2,48.5,2,25,2.5,336,41786,33957,7346,124.36309523809524,101.0625,21.863095238095237,112,0.3333333333333333,22,11
12,serverless,4,3,1,8,1,6,2.5,172,20423,18007,2270,118.73837209302326,104.69186046511628,13.19767441860465,33,0.19186046511627908,22,10
13,serverless,8,2,1,10,1,5,3,65,1462,1172,190,22.49230769230769,18.03076923076923,2.923076923076923,4,0.06153846153846154,22,10
14,serverless,9.5,4,2,20,0,0,4,258,44499,24898,15989,172.47674418604652,96.50387596899225,61.97286821705426,147,0.5697674418604651,5,
15,serverless,12,5,2,24,0,0,4,271,19298,5215,8176,71.21033210332104,19.243542435424356,30.169741697416974,119,0.43911439114391143,6,
16,serverless,10.5,3,1,17,0,0,5,182,12874,3378,5038,70.73626373626374,18.560439560439562,27.681318681318682,70,0.38461538461538464,18,11
17,serverless,10,4,2,18,1,2,6,222,24309,4963,16798,109.5,22.355855855855857,75.66666666666667,115,0.5180180180180181,36,23
18,serverless,5,2,1,11,0,0,6,227,10711,2590,3306,47.18502202643172,11.409691629955947,14.56387665198238,83,0.3656387665198238,40,27
19,serverless,6,2,1,12,0,0,5.5,387,27530,5246,9129,71.13695090439276,13.555555555555555,23.589147286821706,142,0.3669250645994832,54,34
20,serverless,6,2,1,14,0,0,5,235,16844,4355,9601,71.67659574468085,18.53191489361702,40.85531914893617,101,0.4297872340425532,37,21
21,serverless,4,2,1,8,0,0,5,229,15129,3793,7334,66.06550218340611,16.563318777292576,32.02620087336245,88,0.38427947598253276,38,24
22,serverless,5.5,3,1,11.5,0,0,5,118,9320,1168,1543,78.98305084745763,9.898305084745763,13.076271186440678,46,0.3898305084745763,28,17
23,serverless,6,3,1,13,0,0,5,90,6376,809,2075,70.84444444444445,8.988888888888889,23.055555555555557,30,0.3333333333333333,31,21
24,serverless,9,2,2,18.5,0,0,6,92,10094,705,2494,109.71739130434783,7.663043478260869,27.108695652173914,35,0.3804347826086957,22,12
2,p5.js,15.5,4,2,25.5,1,11.5,3,60,7339,6161,404,122.31666666666666,102.68333333333334,6.733333333333333,18,0.3,7,2
3,p5.js,17,7.5,3,32,2,23,2.5,114,105411,64933,1202,924.6578947368421,569.5877192982456,10.543859649122806,23,0.20175438596491227,10,3
4,p5.js,36.5,14,3,64.5,3,51.5,3,72,94385,70178,82,1310.9027777777778,974.6944444444445,1.1388888888888888,3,0.041666666666666664,5,2
5,p5.js,39,12,3,68,2,46,3,81,18439,16594,180,227.64197530864197,204.8641975308642,2.2222222222222223,6,0.07407407407407407,7,2
6,p5.js,36,13.5,2,53,2,44.5,3,176,86925,43734,1965,493.89204545454544,248.48863636363637,11.164772727272727,17,0.09659090909090909,6,1
7,p5.js,11.5,10,3,24.5,3,22,3,136,64273,56666,63,472.59558823529414,416.6617647058824,0.4632352941176471,5,0.03676470588235294,8,5
8,p5.js,10,5,2,16,2,15,3,88,8545,8401,0,97.10227272727273,95.4659090909091,0,0,0,8,5
9,p5.js,17,5,3,30,3,28,2.5,33,45339,45231,0,1373.909090909091,1370.6363636363637,0,0,0,6,3
10,p5.js,11,6,3,20,3,20,2.5,25,3943,3197,0,157.72,127.88,0,0,0,5,2
11,p5.js,7,3,2,11,2,10,3,75,9552,9492,21,127.36,126.56,0.28,2,0.02666666666666667,13,6
12,p5.js,10.5,6,3,19.5,2.5,19.5,2.5,36,16805,16777,0,466.80555555555554,466.02777777777777,0,0,0,9,5
13,p5.js,12,4,2,18,2,12,3,59,6457,5033,167,109.44067796610169,85.30508474576271,2.830508474576271,4,0.06779661016949153,7,3
14,p5.js,6,6,2,20,1,13,2.5,39,2481,2030,312,63.61538461538461,52.05128205128205,8,7,0.1794871794871795,12,3
15,p5.js,26,5,1,32,1,30,3,46,5677,4504,1040,123.41304347826087,97.91304347826087,22.608695652173914,6,0.13043478260869565,8,4
16,p5.js,9,10,1,18,1,18,3,19,5874,5834,36,309.1578947368421,307.05263157894734,1.894736842105263,1,0.05263157894736842,8,4
17,p5.js,27,9,2,45.5,2,43,3,284,130374,127384,711,459.0633802816901,448.53521126760563,2.5035211267605635,19,0.06690140845070422,25,16
18,p5.js,24.5,18.5,2,59.5,2,44.5,3,90,124260,117347,6538,1380.6666666666667,1303.8555555555556,72.64444444444445,4,0.044444444444444446,12,4
19,p5.js,10,7,1,23,1,19,3,89,41174,40377,178,462.6292134831461,453.6741573033708,2,7,0.07865168539325842,13,6
20,p5.js,11,5,2,22,1,13,3,119,51048,46585,3635,428.97478991596637,391.47058823529414,30.54621848739496,20,0.16806722689075632,14,5
21,p5.js,6,3,1,10,1,9,3,111,3761,3380,189,33.88288288288288,30.45045045045045,1.7027027027027026,6,0.05405405405405406,17,9
22,p5.js,6,2,1,10,1,8,3,86,4472,4029,74,52,46.848837209302324,0.8604651162790697,4,0.046511627906976744,15,6
23,p5.js,11,3,1,16,1,10,3,123,79193,72637,868,643.8455284552846,590.5447154471544,7.056910569105691,22,0.17886178861788618,17,10
24,p5.js,13.5,4.5,1,31.5,1,16,3,40,3143,2710,324,78.575,67.75,8.1,2,0.05,6,1
2,habitica,5.5,4.5,1,9,1,2,3,18,949,601,0,52.72222222222222,33.388888888888886,0,0,0,1,
3,habitica,4,3,1,8.5,1,3.5,3,174,7302,2337,423,41.96551724137931,13.431034482758621,2.4310344827586206,7,0.040229885057471264,6,4
4,habitica,5,3,1,10,1,4,3,414,32669,11648,9464,78.91062801932367,28.135265700483092,22.85990338164251,21,0.050724637681159424,16,11
5,habitica,7,3,2,12,1,2,3,346,26603,9507,1109,76.88728323699422,27.476878612716764,3.2052023121387285,39,0.11271676300578035,13,8
6,habitica,7,4,1,13,1,2,3,154,241141,58680,149028,1565.8506493506493,381.038961038961,967.7142857142857,9,0.05844155844155844,12,4
7,habitica,7,3,1,11.5,1,2,3,286,31537,8869,0,110.26923076923077,31.01048951048951,0,0,0,20,14
8,habitica,8,5,1,14,1,4,3,207,18461,11716,947,89.18357487922705,56.59903381642512,4.57487922705314,11,0.05314009661835749,21,16
9,habitica,5,3.5,1,8.5,0,0,3,32,10371,8766,24,324.09375,273.9375,0.75,1,0.03125,6,2
10,habitica,5,3,1,7.5,1,3,3,102,146590,145327,320,1437.1568627450981,1424.7745098039215,3.1372549019607843,8,0.0784313725490196,6,2
11,habitica,9.5,6,2,21.5,1,6,3,304,475571,251983,148696,1564.3782894736842,828.891447368421,489.13157894736844,5,0.01644736842105263,9,3
12,habitica,5.5,2,1,7.5,0,0,4,78,10202,501,233,130.7948717948718,6.423076923076923,2.9871794871794872,11,0.14102564102564102,8,3
